Type,Count,Allocated(MB),Resident(MB)
"System.Collections.Generic.Dictionary.Entry<UnityEngine.InputSystem.Utilities.InternedString,UnityEngine.InputSystem.Utilities.InternedString>[]",1,0.003,0.003
"UnityEngine.Rendering.ProbeReferenceVolume.Cell[]",13,0.003,0.003
"System.Collections.Concurrent.ConcurrentDictionary.Node<System.Type,Unity.Properties.IPropertyBag>",72,0.003,0.003
"System.Collections.Generic.KeyValuePair<UnityEngine.InputSystem.Utilities.InternedString,System.Object>[]",37,0.003,0.003
"UnityEngine.Rendering.TProfilingSampler<UnityEngine.Rendering.Universal.URPProfileId>",60,0.003,0.003
"UnityEngine.InputSystem.InputActionMap",10,0.003,0.003
"Meta.XR.MRUtilityKit.MRUKAnchor",18,0.003,0.003
"System.Action",24,0.003,0.003
"System.Action<System.Boolean>",23,0.003,0.003
"System.Collections.Generic.List<UnityEngine.InputSystem.XR.UsageHint>",73,0.003,0.003
"UnityEngine.InputSystem.XR.UsageHint[]",73,0.003,0.003
"System.UInt16[]",15,0.003,0.003
"System.Collections.Generic.Dictionary.Entry<UnityEngine.Rendering.Universal.URPProfileId,UnityEngine.Rendering.DebugDisplayStats.AccumulatedTiming<UnityEngine.Rendering.Universal.URPProfileId>>[]",3,0.003,0.003
"UnityEngine.Rendering.DebugUI.EnumField",19,0.003,0.003
"UnityEngine.Rendering.DynamicArray<UnityEngine.Rendering.RenderGraphModule.NativeRenderPassCompiler.Name>",85,0.003,0.003
"UnityEngine.InputSystem.Controls.DeltaControl",8,0.002,0.002
"UnityEngine.Rendering.RenderGraphModule.NativeRenderPassCompiler.CompilerContextData",21,0.002,0.002
"System.Collections.Generic.List<UnityEngine.Events.BaseInvokableCall>",63,0.002,0.002
"UnityEngine.InputSystem.FastKeyboard",5,0.002,0.002
"UnityEngine.Rendering.DebugDisplayStats.AccumulatedTiming<UnityEngine.Rendering.Universal.URPProfileId>",102,0.002,0.002
"System.Collections.Generic.List<UnityEngine.Rendering.VolumeParameter>",61,0.002,0.002
"System.Boolean[]",59,0.002,0.002
"UnityEngine.GUIContent[]",23,0.002,0.002
"UnityEngine.Rendering.DebugUI.Value[]",42,0.002,0.002
"UnityEngine.InputSystem.Controls.Vector2Control",8,0.002,0.002
"System.Text.RegularExpressions.RegexBoyerMoore",32,0.002,0.002
"UnityEngine.Material",95,0.002,0.002
"System.Collections.Concurrent.ConcurrentDictionary.Node<System.Type,Unity.Properties.IPropertyBag>[]",1,0.002,0.002
"UnityEngine.InputSystem.InputActionState",10,0.002,0.002
"System.Action<UnityEngine.Rendering.DebugUI.Panel>",17,0.002,0.002
"System.Collections.Generic.Dictionary.Entry<UnityEngine.Rendering.Universal.URPProfileId,UnityEngine.Rendering.TProfilingSampler<UnityEngine.Rendering.Universal.URPProfileId>>[]",1,0.002,0.002
"System.Int32[][]",36,0.002,0.002
"UnityEngine.Experimental.Rendering.GraphicsFormat[]",35,0.002,0.002
"System.Func<System.Single>",16,0.002,0.002
"UnityEngine.Rendering.DynamicArray<UnityEngine.Rendering.RenderGraphModule.RenderGraph.CompiledResourceInfo>",63,0.002,0.002
"UnityEngine.InputSystem.FastMouse",4,0.002,0.002
"UnityEngine.InputSystem.Controls.QuaternionControl",6,0.002,0.002
"UnityEngine.Rendering.DebugUI.Foldout",15,0.002,0.002
"UnityEngine.Rendering.DebugUI.BoolField",20,0.002,0.002
"UnityEngine.InputSystem.XR.XRFeatureDescriptor[]",4,0.002,0.002
"UnityEngine.Rendering.RenderBufferStoreAction[]",29,0.002,0.002
"UnityEngine.Rendering.Universal.ShadowSliceData[]",1,0.002,0.002
"System.Collections.Generic.List<UnityEngine.Rendering.RenderGraphModule.ResourceHandle>[]",33,0.002,0.002
"UnityEngine.Rendering.Universal.XRPassUniversal",1,0.002,0.002
"UnityEngine.Experimental.Rendering.XRPass",1,0.002,0.002
"System.Type[]",7,0.002,0.002
"System.Text.RegularExpressions.ExclusiveReference",44,0.002,0.002
"UnityEngine.Rendering.RenderGraphModule.RenderGraphPass.RandomWriteResourceInfo[]",11,0.002,0.002
"System.Collections.Generic.Dictionary<System.Int32,UnityEngine.Rendering.GraphicsFence>",21,0.002,0.002
"UnityEngine.Rendering.MinFloatParameter",52,0.002,0.002
"UnityEngine.Rendering.Universal.UniversalCameraHistory.Item[]",3,0.002,0.002
"UnityEngine.InputSystem.Controls.AnyKeyControl",5,0.002,0.002
"UnityEngine.InputSystem.Layouts.InputControlLayout.Collection.LayoutMatcher[]",2,0.002,0.002
"System.Action<System.Single>",12,0.001,0.001
"UnityEngine.Rendering.DebugUI.FloatField",12,0.001,0.001
"System.WeakReference<System.Text.RegularExpressions.RegexReplacement>",44,0.001,0.001
"UnityEngine.InputSystem.Utilities.MemoryHelpers.BitRegion[]",9,0.001,0.001
"UnityEngine.Rendering.RenderGraphModule.TextureHandle[]",6,0.001,0.001
"UnityEngine.InputSystem.InputManager",1,0.001,0.001
"System.Reflection.RuntimeMethodInfo",33,0.001,0.001
"UnityEngine.InputSystem.InputManager.AvailableDevice[]",1,0.001,0.001
"UnityEngine.GameObject",54,0.001,0.001
"UnityEngine.Transform",54,0.001,0.001
"UnityEngine.Rendering.Universal.PostProcessPass",2,0.001,0.001
"System.Collections.ObjectModel.ReadOnlyCollection<UnityEngine.Rendering.VolumeParameter>",38,0.001,0.001
"Unity.XR.Oculus.Input.OculusTouchController",2,0.001,0.001
"UnityEngine.Rendering.DynamicArray<UnityEngine.Rendering.RenderGraphModule.RenderGraph.CompiledResourceInfo>[]",21,0.001,0.001
"UnityEngine.Rendering.DynamicArray<UnityEngine.Rendering.RenderGraphModule.NativeRenderPassCompiler.Name>[]",21,0.001,0.001
"UnityEngine.Rendering.RenderGraphModule.NativeRenderPassCompiler.ResourcesData",21,0.001,0.001
"Unity.Collections.NativeList<UnityEngine.Rendering.RenderGraphModule.NativeRenderPassCompiler.ResourceUnversionedData>[]",21,0.001,0.001
"Unity.Collections.NativeList<UnityEngine.Rendering.RenderGraphModule.NativeRenderPassCompiler.ResourceReaderData>[]",21,0.001,0.001
"Unity.Collections.NativeList<UnityEngine.Rendering.RenderGraphModule.NativeRenderPassCompiler.ResourceVersionedData>[]",21,0.001,0.001
"UnityEngine.Texture2D",49,0.001,0.001
"System.Collections.Generic.Dictionary.Entry<System.String,System.String>[]",1,0.001,0.001
"System.Text.RegularExpressions.RegexCharClass.LowerCaseMapping[]",1,0.001,0.001
"System.Action<UnityEngine.Color>",9,0.001,0.001
"System.Func<UnityEngine.Color>",9,0.001,0.001
"UnityEngine.Events.BaseInvokableCall[]",18,0.001,0.001
"System.Version",34,0.001,0.001
"UnityEngine.Rendering.DebugDisplayStats.<>c__DisplayClass19_1<UnityEngine.Rendering.Universal.URPProfileId>",34,0.001,0.001
"OVRInput.OVRControllerBase.VirtualButtonMap",7,0.001,0.001
"UnityEngine.Rendering.ContextContainer.Item[]",1,0.001,0.001
"Mono.Globalization.Unicode.TailoringInfo",33,0.001,0.001
"UnityEngine.Rendering.RenderGraphModule.RendererListLegacyResource[]",1,0.001,0.001
"UnityEngine.UnitySynchronizationContext.WorkRequest[]",3,0.001,0.001
"System.Globalization.CultureInfo",5,0.001,0.001
"UnityEngine.Experimental.Rendering.XRView[]",3,0.001,0.001
"System.IOAsyncCallback",8,0.001,0.001
"UnityEngine.Events.InvokableCallList",21,0.001,0.001
"UnityEngine.Rendering.DebugUI.ColorField",9,0.001,0.001
"UnityEngine.Rendering.AttachmentDescriptor[]",1,0.001,0.001
"System.Object",62,0.001,0.001
"System.Threading.Tasks.Task<System.Int32>",11,0.001,0.001
"Mono.Globalization.Unicode.Contraction[]",4,0.001,0.001
"UnityEngine.Rendering.DebugUI.Container",12,0.001,0.001
"UnityEngine.Rendering.ColorParameter",20,0.001,0.001
"UnityEngine.Rendering.Universal.Internal.CopyDepthPass",4,0.001,0.001
"System.String[][]",1,0.001,0.001
"System.Collections.Generic.Dictionary.Entry<System.Int32,UnityEngine.Rendering.DynamicResolutionHandler>[]",1,0.001,0.001
"System.Collections.Generic.Dictionary.Entry<System.String,System.Int32>[]",1,0.001,0.001
"System.Collections.Generic.Dictionary.Entry<System.Type,UnityEngine.Rendering.VolumeComponent>[]",1,0.001,0.001
"UnityEngine.Rendering.BoolParameter",28,0.001,0.001
"System.AsyncCallback",7,0.001,0.001
"UnityEngine.Events.UnityAction<UnityEngine.Networking.PlayerConnection.MessageEventArgs>",7,0.001,0.001
"UnityEngine.Rendering.Universal.UniversalRenderer",1,0.001,0.001
"UnityEngine.Shader",37,0.001,0.001
"System.Collections.Generic.List<Meta.XR.MRUtilityKit.MRUKAnchor>",22,0.001,0.001
"UnityEngine.Rendering.RenderGraphModule.IRenderGraphResource[]",3,0.001,0.001
"System.Collections.Generic.HashSet<System.Int32>",12,0.001,0.001
"UnityEngine.Rendering.RenderGraphModule.RenderGraph.CompiledGraph",21,0.001,0.001
"System.Collections.Generic.List<UnityEngine.Events.PersistentCall>",21,0.001,0.001
"Mono.Globalization.Unicode.CodePointIndexer.TableRange[]",7,0.001,0.001
"UnityEngine.Rendering.STP.PerViewConfig[]",1,0.001,0.001
"UnityEngine.Rendering.FrameTimeSample[]",2,0.001,0.001
"UnityEngine.Rendering.TextureCurveParameter",24,0.001,0.001
"System.Action<UnityEngine.Rendering.DebugUI.Field<System.Int32>,System.Int32>",6,0.001,0.001
"System.Func<System.Single,System.Single,System.Single>",6,0.001,0.001
"UnityEngine.Rendering.DebugDisplayGPUResidentDrawer.<>c__DisplayClass34_0",32,0.001,0.001
"UnityEngine.Rendering.DebugDisplayGPUResidentDrawer.<>c__DisplayClass29_0",32,0.001,0.001
"UnityEngine.Rendering.Universal.Internal.DrawObjectsPass.PassData",5,0.001,0.001
"UnityEngine.Rendering.ProbeReferenceVolume",1,0.001,0.001
"UnityEngine.Rendering.RenderGraphModule.ResourceHandle[]",10,0.001,0.001
"UnityEngine.Vector2[]",12,0.001,0.001
"System.UInt64[]",3,0.001,0.001
"UnityEngine.Rendering.Vector4Parameter",18,0.001,0.001
"System.Collections.Generic.Dictionary.Entry<System.Text.RegularExpressions.Regex.CachedCodeEntryKey,System.Text.RegularExpressions.Regex.CachedCodeEntry>[]",1,0.001,0.001
"OVRPlugin.GetBoneSkeleton3Delegate[]",1,0.001,0.001
"System.Globalization.DateTimeFormatInfo",2,0.001,0.001
"UnityEngine.Rendering.Universal.Internal.DrawObjectsPass",2,0.001,0.001
"UnityEngine.Rendering.Universal.UniversalRenderPipelineAsset",2,0.001,0.001
"Meta.XR.MRUtilityKit.EffectMesh.EffectMeshObject",17,0.001,0.001
"UnityEngine.Rendering.ClampedIntParameter",17,0.001,0.001
"UnityEngine.Rendering.DynamicArray<UnityEngine.Rendering.RenderGraphModule.RenderGraph.CompiledPassInfo>",21,0.001,0.001
"Meta.XR.MRUtilityKit.MRUKAnchor[]",6,0.001,0.001
"Unity.XR.Oculus.Input.OculusHMD",1,0.001,0.001
"System.Reflection.RuntimeAssembly[]",1,0.001,0.001
"System.Collections.Generic.HashSet<System.Action>",9,0.001,0.001
"UnityEngine.InputSystem.Controls.StickControl",2,0.001,0.001
"UnityEngine.InputSystem.InputActionMap[]",10,0.001,0.001
"System.Collections.Generic.Dictionary.Entry<System.Int32,System.Int32>[]",1,0.001,0.001
"System.Object[]",6,0.001,0.001
"System.WeakReference<UnityEngine.Pool.IPool>",19,0.001,0.001
"UnityEngine.Rendering.Universal.ScreenSpaceLensFlare",3,0.001,0.001
"UnityEngine.Rendering.Universal.UniversalAdditionalCameraData",3,0.001,0.001
"OVRPlugin.GetBoneSkeleton2Delegate[]",1,0.001,0.001
"System.ValueTuple<System.String,System.Type>[]",2,0.001,0.001
"UnityEngine.Rendering.RenderGraphModule.RenderGraphPass[]",2,0.001,0.001
"System.Collections.Generic.HashSet<UnityEngine.Rendering.RTHandle>",8,0.001,0.001
"UnityEngine.InputSystem.InputAction[]",12,0.001,0.001
"UnityEngine.Rendering.Universal.UniversalCameraData",1,0.001,0.001
"UnityEngine.Rendering.Universal.Bloom",4,0.001,0.001
"UnityEngine.Rendering.TProfilingSampler<UnityEngine.Rendering.RenderGraphModule.NativeRenderPassCompiler.NativePassCompiler.NativeCompilerProfileId>",10,0.001,0.001
"OVRInput.OVRControllerBase.VirtualAxis1DMap",7,0.001,0.001
"Meta.XR.MRUtilityKit.ImmersiveSceneDebugger",1,0.001,0.001
"RenderGraphCompilationCache.HashEntry<UnityEngine.Rendering.RenderGraphModule.NativeRenderPassCompiler.CompilerContextData>[]",1,0.001,0.001
"System.Globalization.CultureData",4,0.001,0.001
"RenderGraphCompilationCache.HashEntry<UnityEngine.Rendering.RenderGraphModule.RenderGraph.CompiledGraph>[]",1,0.001,0.001
"UnityEngine.InputSystem.InputManager.StateChangeMonitorsForDevice[]",1,0.001,0.001
"OVROverlay",1,0.001,0.001
"UnityEngine.Rendering.Universal.DebugDisplaySettingsMaterial.AlbedoDebugValidationPresetData[]",1,0.000,0.000
"UnityEngine.Events.UnityAction",4,0.000,0.000
"UnityEngine.Rendering.TextureCurve",8,0.000,0.000
"UnityEngine.Rendering.Universal.Tonemapping",4,0.000,0.000
"OVRInput.OVRControllerBase.VirtualTouchMap",7,0.000,0.000
"UnityEngine.Events.PersistentCallGroup",21,0.000,0.000
"UnityEngine.Rendering.DebugActionState",9,0.000,0.000
"System.Collections.Generic.List<UnityEngine.Rendering.RenderGraphModule.RendererListHandle>",12,0.000,0.000
"System.Single[]",8,0.000,0.000
"System.Collections.Generic.List<UnityEngine.InputSystem.Controls.ButtonControl>",12,0.000,0.000
"UnityEngine.Rendering.DebugUI.Table",5,0.000,0.000
"UnityEngine.Rendering.Universal.Internal.CopyColorPass",2,0.000,0.000
"UnityEngine.Rendering.VolumeComponent[]",4,0.000,0.000
"UnityEngine.Mesh",19,0.000,0.000
"UnityEngine.Rendering.DebugUI.Panel",8,0.000,0.000
"System.Collections.Generic.List<System.ValueTuple<UnityEngine.Rendering.RenderGraphModule.TextureHandle,System.Int32>>",11,0.000,0.000
"System.Reflection.RuntimeConstructorInfo",11,0.000,0.000
"System.Collections.Generic.Dictionary.Entry<Meta.XR.MRUtilityKit.MRUKAnchor,Meta.XR.MRUtilityKit.EffectMesh.EffectMeshObject>[]",1,0.000,0.000
"System.Collections.Generic.Dictionary.Entry<System.Type,OVRPlugin.SpaceComponentType>[]",1,0.000,0.000
"System.Collections.Generic.Dictionary.Entry<UnityEngine.Rendering.RenderGraphModule.NativeRenderPassCompiler.NativePassCompiler.NativeCompilerProfileId,UnityEngine.Rendering.TProfilingSampler<UnityEngine.Rendering.RenderGraphModule.NativeRenderPassCompiler.NativePassCompiler.NativeCompilerProfileId>>[]",1,0.000,0.000
"System.Collections.Generic.Dictionary.Entry<System.Int32,UnityEngine.InputSystem.InputDevice>[]",1,0.000,0.000
"System.Collections.Hashtable.bucket[]",1,0.000,0.000
"System.Collections.Generic.Dictionary.Entry<System.Type,System.Int32>[]",1,0.000,0.000
"System.Delegate[]",9,0.000,0.000
"UnityEngine.Material[]",4,0.000,0.000
"System.Globalization.NumberFormatInfo",2,0.000,0.000
"UnityEngine.Texture2D[]",3,0.000,0.000
"UnityEngine.Rendering.Universal.DrawScreenSpaceUIPass",2,0.000,0.000
"System.Globalization.CalendarData[]",2,0.000,0.000
"UnityEngine.Rendering.Universal.MotionVectorsPersistentData",3,0.000,0.000
"UnityEngine.Rendering.ProbeVolumesOptions",3,0.000,0.000
"UnityEngine.Rendering.Universal.DepthOfField",3,0.000,0.000
"UnityEngine.Plane[]",4,0.000,0.000
"UnityEngine.Rendering.DebugUI.ProgressBarValue",4,0.000,0.000
"UnityEngine.Rendering.RTHandleSystem",4,0.000,0.000
"UnityEngine.MeshFilter",17,0.000,0.000
"UnityEngine.MeshRenderer",17,0.000,0.000
"System.Collections.Generic.List<System.Int32>",10,0.000,0.000
"UnityEngine.Events.UnityAction<Meta.XR.MRUtilityKit.MRUKAnchor>",3,0.000,0.000
"System.Func<UnityEngine.InputSystem.Layouts.InputControlLayout>",3,0.000,0.000
"UnityEngine.Hash128[]",2,0.000,0.000
"System.Func<System.String,UnityEngine.InputSystem.Utilities.InternedString>",3,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RasterRenderGraphPass<UnityEngine.Rendering.Universal.Internal.DrawObjectsPass.PassData>",2,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RasterRenderGraphPass<UnityEngine.Rendering.Universal.ScriptableRenderer.PassData>",2,0.000,0.000
"UnityEngine.Rendering.DynamicArray<UnityEngine.Rendering.ProbeReferenceVolume.Cell>",12,0.000,0.000
"UnityEngine.Rendering.DebugDisplayGPUResidentDrawer.<>c__DisplayClass35_0",16,0.000,0.000
"System.Collections.Generic.Dictionary.Entry<UnityEngine.Hash128,System.Int32>[]",1,0.000,0.000
"System.Action<System.Object>",3,0.000,0.000
"System.Collections.Generic.Dictionary.Entry<UnityEngine.Hash128,System.Int32[]>[]",1,0.000,0.000
"Unity.Properties.TypeConverter<System.String,System.Char>",3,0.000,0.000
"System.EventHandler<System.Net.Sockets.SocketAsyncEventArgs>",3,0.000,0.000
"System.Func<UnityEngine.InputSystem.InputDevice>",3,0.000,0.000
"System.Reflection.MemberFilter",3,0.000,0.000
"UnityEngine.Rendering.Universal.Vignette",4,0.000,0.000
"UnityEngine.Rendering.Universal.ChannelMixer",3,0.000,0.000
"OVRCameraRig",1,0.000,0.000
"UnityEngine.Rendering.ShaderTagId[]",8,0.000,0.000
"UnityEngine.Rendering.Universal.UniversalResourceData",1,0.000,0.000
"UnityEngine.Rendering.Universal.Internal.DrawObjectsWithRenderingLayersPass",1,0.000,0.000
"UnityEngine.Rendering.Universal.Internal.AdditionalLightsShadowCasterPass",1,0.000,0.000
"System.Collections.Generic.List<UnityEngine.Vector2>",9,0.000,0.000
"UnityEngine.Rendering.DebugUI.IntField",3,0.000,0.000
"UnityEngine.Rendering.Universal.ColorCurves",3,0.000,0.000
"UnityEngine.Rendering.DebugUI.MessageBox",4,0.000,0.000
"UnityEngine.Rendering.DebugUI.RuntimeDebugShadersMessageBox",4,0.000,0.000
"System.MonoTypeInfo",11,0.000,0.000
"System.Threading.Tasks.Task<System.Boolean>",4,0.000,0.000
"System.Net.Sockets.SocketAsyncResult",2,0.000,0.000
"UnityEngine.Rendering.Universal.MotionBlur",4,0.000,0.000
"UnityEngine.InputSystem.Plugins.InputForUI.InputSystemProvider",1,0.000,0.000
"UnityEngine.Networking.PlayerConnection.PlayerEditorConnectionEvents.MessageEvent",7,0.000,0.000
"UnityEngine.Rendering.Universal.Internal.ForwardLights",1,0.000,0.000
"UnityEngine.Rendering.Universal.ShadowsMidtonesHighlights",3,0.000,0.000
"System.SByte[]",2,0.000,0.000
"System.Globalization.CalendarData",2,0.000,0.000
"UnityEngine.Rendering.DebugUI.Foldout.ContextMenuItem[]",4,0.000,0.000
"UnityEngine.Rendering.Universal.ScriptableRenderPass[]",2,0.000,0.000
"System.WeakReference<UnityEngine.Pool.IPool>[]",2,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.NativeRenderPassCompiler.CompilerContextData[]",2,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RenderGraph.CompiledGraph[]",2,0.000,0.000
"UnityEngine.Rendering.Vector2Parameter",10,0.000,0.000
"UnityEngine.Rendering.Universal.URPProfileId[]",2,0.000,0.000
"System.Collections.Generic.Dictionary<System.Action<System.Boolean,UnityEngine.Object>,System.Collections.Generic.LinkedListNode<System.Action<System.Boolean,UnityEngine.Object>>>",4,0.000,0.000
"UnityEngine.Rendering.Universal.Internal.MainLightShadowCasterPass",1,0.000,0.000
"System.Collections.Generic.Dictionary<UnityEngine.InputSystem.Utilities.InternedString,System.Type>",4,0.000,0.000
"OVRManager",1,0.000,0.000
"System.Collections.Generic.HashSet.Slot<UnityEngine.Rendering.IDebugDisplaySettingsData>[]",1,0.000,0.000
"UnityEngine.Rendering.PerformanceBottleneck[]",2,0.000,0.000
"UnityEngine.Rendering.Universal.PostProcessPass.MaterialLibrary",2,0.000,0.000
"UnityEngine.Rendering.Universal.UniversalRendererData",2,0.000,0.000
"System.Int16[]",4,0.000,0.000
"OVRInput.OVRControllerRHand",1,0.000,0.000
"OVRInput.OVRControllerLHand",1,0.000,0.000
"OVRInput.OVRControllerHands",1,0.000,0.000
"OVRInput.OVRControllerRTouch",1,0.000,0.000
"OVRInput.OVRControllerLTouch",1,0.000,0.000
"OVRInput.OVRControllerTouch",1,0.000,0.000
"OVRInput.OVRControllerGamepadAndroid",1,0.000,0.000
"Mono.Globalization.Unicode.TailoringInfo[]",1,0.000,0.000
"UnityEngine.Rendering.Universal.ScriptableRendererFeature[]",4,0.000,0.000
"OVRPassthroughLayer",1,0.000,0.000
"UnityEngine.InputSystem.Processors.AxisDeadzoneProcessor",12,0.000,0.000
"UnityEngine.Rendering.DebugActionDesc",9,0.000,0.000
"Mono.Globalization.Unicode.SimpleCollator",3,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RenderGraphObjectPool.SharedObjectPoolBase[]",1,0.000,0.000
"UnityEngine.Rendering.SerializedDictionary<System.String,System.Boolean>",3,0.000,0.000
"UnityEngine.Rendering.SerializedDictionary<System.String,UnityEngine.Bounds>",3,0.000,0.000
"UnityEngine.Rendering.Universal.ColorAdjustments",3,0.000,0.000
"UnityEngine.Rendering.Universal.LensDistortion",3,0.000,0.000
"Meta.XR.MRUtilityKit.MRUK",1,0.000,0.000
"UnityEngine.Rendering.TextureParameter",7,0.000,0.000
"System.Collections.Generic.List<System.String>",7,0.000,0.000
"OVRInput.OVRControllerBase.VirtualAxis2DMap",7,0.000,0.000
"OVRInput.OVRControllerBase.VirtualNearTouchMap",7,0.000,0.000
"UnityEngine.InputSystem.Android.LowLevel.AndroidSensorType",14,0.000,0.000
"UnityEngine.Networking.PlayerConnection.PlayerEditorConnectionEvents.MessageTypeSubscribers",7,0.000,0.000
"Mono.Globalization.Unicode.CodePointIndexer",7,0.000,0.000
"UnityEngine.Rendering.Universal.XRDepthMotionPass",1,0.000,0.000
"UnityEngine.Vector3[]",4,0.000,0.000
"UnityEngine.Rendering.Universal.Internal.DepthNormalOnlyPass",1,0.000,0.000
"UnityEngine.Rendering.Universal.FilmGrain",3,0.000,0.000
"System.Threading.ContextCallback",2,0.000,0.000
"UnityEngine.Rendering.DisplayInfoAttribute",8,0.000,0.000
"UnityEngine.Experimental.GlobalIllumination.Lightmapping.RequestLightsDelegate",2,0.000,0.000
"UnityEngine.XR.XRDisplaySubsystem[]",5,0.000,0.000
"UnityEngine.Rendering.DebugUI.RenderingLayerField.<>c__DisplayClass5_0",8,0.000,0.000
"System.Action<UnityEngine.Object>",2,0.000,0.000
"System.Func<System.Reflection.FieldInfo,System.Boolean>",2,0.000,0.000
