filepath,filename,room_type,scan_type,trial_number,num_rows,folder
meta_scan_csvs\cleaned\blinds_up\blinds_up_7_cleaned.csv,blinds_up_7_cleaned.csv,blinds_up,base,7,1711,blinds_up
meta_scan_csvs\cleaned\blinds_up\blinds_up_8_cleaned.csv,blinds_up_8_cleaned.csv,blinds_up,base,8,305,blinds_up
meta_scan_csvs\cleaned\blinds_up\blinds_up_9_cleaned.csv,blinds_up_9_cleaned.csv,blinds_up,base,9,310,blinds_up
meta_scan_csvs\cleaned\blinds_up\blinds_up_motion_10_cleaned.csv,blinds_up_motion_10_cleaned.csv,blinds_up,motion,10,311,blinds_up
meta_scan_csvs\cleaned\blinds_up\blinds_up_motion_6_cleaned.csv,blinds_up_motion_6_cleaned.csv,blinds_up,motion,6,298,blinds_up
meta_scan_csvs\cleaned\blinds_up\blinds_up_motion_7_cleaned.csv,blinds_up_motion_7_cleaned.csv,blinds_up,motion,7,1697,blinds_up
meta_scan_csvs\cleaned\blinds_up\blinds_up_motion_8_cleaned.csv,blinds_up_motion_8_cleaned.csv,blinds_up,motion,8,371,blinds_up
meta_scan_csvs\cleaned\blinds_up\blinds_up_motion_9_cleaned.csv,blinds_up_motion_9_cleaned.csv,blinds_up,motion,9,295,blinds_up
meta_scan_csvs\cleaned\blinds_up\blinds_up_object_1_cleaned.csv,blinds_up_object_1_cleaned.csv,blinds_up,object,1,1755,blinds_up
meta_scan_csvs\cleaned\blinds_up\blinds_up_object_2_cleaned.csv,blinds_up_object_2_cleaned.csv,blinds_up,object,2,1765,blinds_up
meta_scan_csvs\cleaned\blinds_up\blinds_up_object_3_cleaned.csv,blinds_up_object_3_cleaned.csv,blinds_up,object,3,1891,blinds_up
meta_scan_csvs\cleaned\blinds_up\blinds_up_object_4_cleaned.csv,blinds_up_object_4_cleaned.csv,blinds_up,object,4,313,blinds_up
meta_scan_csvs\cleaned\blinds_up\blinds_up_object_5_cleaned.csv,blinds_up_object_5_cleaned.csv,blinds_up,object,5,1836,blinds_up
meta_scan_csvs\cleaned\blinds_up\blinds_up_person_10_cleaned.csv,blinds_up_person_10_cleaned.csv,blinds_up,person,10,318,blinds_up
meta_scan_csvs\cleaned\blinds_up\blinds_up_person_6_cleaned.csv,blinds_up_person_6_cleaned.csv,blinds_up,person,6,309,blinds_up
meta_scan_csvs\cleaned\blinds_up\blinds_up_person_7_cleaned.csv,blinds_up_person_7_cleaned.csv,blinds_up,person,7,319,blinds_up
meta_scan_csvs\cleaned\blinds_up\blinds_up_person_8_cleaned.csv,blinds_up_person_8_cleaned.csv,blinds_up,person,8,1851,blinds_up
meta_scan_csvs\cleaned\blinds_up\blinds_up_person_9_cleaned.csv,blinds_up_person_9_cleaned.csv,blinds_up,person,9,304,blinds_up
meta_scan_csvs\cleaned\hallway\hallway_1_cleaned.csv,hallway_1_cleaned.csv,hallway,base,1,300,hallway
meta_scan_csvs\cleaned\hallway\hallway_2_cleaned.csv,hallway_2_cleaned.csv,hallway,base,2,305,hallway
meta_scan_csvs\cleaned\hallway\hallway_3_cleaned.csv,hallway_3_cleaned.csv,hallway,base,3,306,hallway
meta_scan_csvs\cleaned\hallway\hallway_4_cleaned.csv,hallway_4_cleaned.csv,hallway,base,4,320,hallway
meta_scan_csvs\cleaned\hallway\hallway_5_cleaned.csv,hallway_5_cleaned.csv,hallway,base,5,1493,hallway
meta_scan_csvs\cleaned\hallway\hallway_motion_1_cleaned.csv,hallway_motion_1_cleaned.csv,hallway,motion,1,329,hallway
meta_scan_csvs\cleaned\hallway\hallway_motion_2_cleaned.csv,hallway_motion_2_cleaned.csv,hallway,motion,2,327,hallway
meta_scan_csvs\cleaned\hallway\hallway_motion_3_cleaned.csv,hallway_motion_3_cleaned.csv,hallway,motion,3,313,hallway
meta_scan_csvs\cleaned\hallway\hallway_motion_4_cleaned.csv,hallway_motion_4_cleaned.csv,hallway,motion,4,1869,hallway
meta_scan_csvs\cleaned\hallway\hallway_motion_5_cleaned.csv,hallway_motion_5_cleaned.csv,hallway,motion,5,314,hallway
meta_scan_csvs\cleaned\hallway\hallway_object_1_cleaned.csv,hallway_object_1_cleaned.csv,hallway,object,1,2024,hallway
meta_scan_csvs\cleaned\hallway\hallway_object_2_cleaned.csv,hallway_object_2_cleaned.csv,hallway,object,2,1712,hallway
meta_scan_csvs\cleaned\hallway\hallway_object_3_cleaned.csv,hallway_object_3_cleaned.csv,hallway,object,3,1739,hallway
meta_scan_csvs\cleaned\hallway\hallway_object_4_cleaned.csv,hallway_object_4_cleaned.csv,hallway,object,4,304,hallway
meta_scan_csvs\cleaned\hallway\hallway_object_5_cleaned.csv,hallway_object_5_cleaned.csv,hallway,object,5,306,hallway
meta_scan_csvs\cleaned\hallway\hallway_person_1_cleaned.csv,hallway_person_1_cleaned.csv,hallway,person,1,340,hallway
meta_scan_csvs\cleaned\hallway\hallway_person_2_cleaned.csv,hallway_person_2_cleaned.csv,hallway,person,2,1820,hallway
meta_scan_csvs\cleaned\hallway\hallway_person_3_cleaned.csv,hallway_person_3_cleaned.csv,hallway,person,3,345,hallway
meta_scan_csvs\cleaned\hallway\hallway_person_4_cleaned.csv,hallway_person_4_cleaned.csv,hallway,person,4,1977,hallway
meta_scan_csvs\cleaned\hallway\hallway_person_5_cleaned.csv,hallway_person_5_cleaned.csv,hallway,person,5,1799,hallway
meta_scan_csvs\cleaned\kitchen\kitchen_10_cleaned.csv,kitchen_10_cleaned.csv,kitchen,base,10,2064,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_1_cleaned.csv,kitchen_1_cleaned.csv,kitchen,base,1,320,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_2_cleaned.csv,kitchen_2_cleaned.csv,kitchen,base,2,296,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_3_cleaned.csv,kitchen_3_cleaned.csv,kitchen,base,3,312,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_4_cleaned.csv,kitchen_4_cleaned.csv,kitchen,base,4,1668,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_6_cleaned.csv,kitchen_6_cleaned.csv,kitchen,base,6,250,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_9_cleaned.csv,kitchen_9_cleaned.csv,kitchen,base,9,1971,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_motion_1_cleaned.csv,kitchen_motion_1_cleaned.csv,kitchen,motion,1,313,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_motion_2_cleaned.csv,kitchen_motion_2_cleaned.csv,kitchen,motion,2,1647,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_motion_3_cleaned.csv,kitchen_motion_3_cleaned.csv,kitchen,motion,3,1837,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_motion_4_cleaned.csv,kitchen_motion_4_cleaned.csv,kitchen,motion,4,338,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_motion_5_cleaned.csv,kitchen_motion_5_cleaned.csv,kitchen,motion,5,342,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_object_1_cleaned.csv,kitchen_object_1_cleaned.csv,kitchen,object,1,1748,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_object_2_cleaned.csv,kitchen_object_2_cleaned.csv,kitchen,object,2,326,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_object_3_cleaned.csv,kitchen_object_3_cleaned.csv,kitchen,object,3,1839,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_object_4_cleaned.csv,kitchen_object_4_cleaned.csv,kitchen,object,4,1839,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_object_5_cleaned.csv,kitchen_object_5_cleaned.csv,kitchen,object,5,340,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_person_2_cleaned.csv,kitchen_person_2_cleaned.csv,kitchen,person,2,335,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_person_3_cleaned.csv,kitchen_person_3_cleaned.csv,kitchen,person,3,1754,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_person_4_cleaned.csv,kitchen_person_4_cleaned.csv,kitchen,person,4,308,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_person_5_cleaned.csv,kitchen_person_5_cleaned.csv,kitchen,person,5,322,kitchen
meta_scan_csvs\cleaned\lab\lab_1_cleaned.csv,lab_1_cleaned.csv,lab,base,1,1749,lab
meta_scan_csvs\cleaned\lab\lab_2_cleaned.csv,lab_2_cleaned.csv,lab,base,2,319,lab
meta_scan_csvs\cleaned\lab\lab_3_cleaned.csv,lab_3_cleaned.csv,lab,base,3,312,lab
meta_scan_csvs\cleaned\lab\lab_4_cleaned.csv,lab_4_cleaned.csv,lab,base,4,312,lab
meta_scan_csvs\cleaned\lab\lab_5_cleaned.csv,lab_5_cleaned.csv,lab,base,5,1717,lab
meta_scan_csvs\cleaned\lab\lab_motion_1_cleaned.csv,lab_motion_1_cleaned.csv,lab,motion,1,300,lab
meta_scan_csvs\cleaned\lab\lab_motion_2_cleaned.csv,lab_motion_2_cleaned.csv,lab,motion,2,317,lab
meta_scan_csvs\cleaned\lab\lab_motion_3_cleaned.csv,lab_motion_3_cleaned.csv,lab,motion,3,330,lab
meta_scan_csvs\cleaned\lab\lab_motion_4_cleaned.csv,lab_motion_4_cleaned.csv,lab,motion,4,322,lab
meta_scan_csvs\cleaned\lab\lab_motion_5_cleaned.csv,lab_motion_5_cleaned.csv,lab,motion,5,1859,lab
meta_scan_csvs\cleaned\lab\lab_object_1_cleaned.csv,lab_object_1_cleaned.csv,lab,object,1,1850,lab
meta_scan_csvs\cleaned\lab\lab_object_2_cleaned.csv,lab_object_2_cleaned.csv,lab,object,2,1824,lab
meta_scan_csvs\cleaned\lab\lab_object_3_cleaned.csv,lab_object_3_cleaned.csv,lab,object,3,313,lab
meta_scan_csvs\cleaned\lab\lab_object_4_cleaned.csv,lab_object_4_cleaned.csv,lab,object,4,297,lab
meta_scan_csvs\cleaned\lab\lab_object_5_cleaned.csv,lab_object_5_cleaned.csv,lab,object,5,296,lab
meta_scan_csvs\cleaned\lab\lab_person_1_cleaned.csv,lab_person_1_cleaned.csv,lab,person,1,341,lab
meta_scan_csvs\cleaned\lab\lab_person_2_cleaned.csv,lab_person_2_cleaned.csv,lab,person,2,1955,lab
meta_scan_csvs\cleaned\lab\lab_person_3_cleaned.csv,lab_person_3_cleaned.csv,lab,person,3,328,lab
meta_scan_csvs\cleaned\lab\lab_person_5_cleaned.csv,lab_person_5_cleaned.csv,lab,person,5,309,lab
