NameOfObject,Type,Allocated(MB),Resident(MB)
"OVRCameraRig","MonoBehaviour",0.004,0.004
"LeftEyeAnchor","Camera",0.004,0.004
"CenterEyeAnchor","Camera",0.004,0.004
"RightEyeAnchor","Camera",0.004,0.004
"Office08","Transform",0.003,0.003
"LivingRoom07","Transform",0.003,0.003
"DefaultVolumeProfile","ScriptableObject",0.003,0.003
"Android Settings","ScriptableObject",0.003,0.003
"ORANGE_Lamp","Material",0.003,0.003
"Office09","Transform",0.003,0.003
"LivingRoom01","Transform",0.002,0.002
"Bedroom00","Transform",0.002,0.002
"LivingRoom02","Transform",0.002,0.002
"OVRCameraRig","Transform",0.002,0.002
"LivingRoom05","Transform",0.002,0.002
"Bedroom06","Transform",0.002,0.002
"Bedroom03","Transform",0.002,0.002
"MetaXRAudioSettings","ScriptableObject",0.002,0.002
"TagManager","TagManager",0.002,0.002
"NavMeshProjectSettings","NavMeshProjectSettings",0.002,0.002
"WALL_FACE","Mesh",0.002,0.001
"WALL_FACE","Mesh",0.002,0.001
"WALL_FACE","Mesh",0.002,0.001
"WALL_FACE","Mesh",0.002,0.001
"WALL_ART","Mesh",0.002,0.001
"WINDOW_FRAME","Mesh",0.002,0.001
"WINDOW_FRAME","Mesh",0.002,0.001
"WINDOW_FRAME","Mesh",0.002,0.001
"WINDOW_FRAME","Mesh",0.002,0.001
"WINDOW_FRAME","Mesh",0.002,0.001
"WINDOW_FRAME","Mesh",0.002,0.001
"WINDOW_FRAME","Mesh",0.002,0.001
"WALL_ART","Mesh",0.002,0.001
"WINDOW_FRAME","Mesh",0.002,0.001
"DOOR_FRAME","Mesh",0.002,0.001
"WALL_ART","Mesh",0.002,0.001
"CEILING","Mesh",0.002,0.001
"FLOOR","Mesh",0.002,0.001
"Quad","Mesh",0.002,0.001
"YELLOW_Screen","Material",0.001,0.001
"WHITE_Other","Material",0.001,0.001
"RED_Couch","Material",0.001,0.001
"PURPLE_Storage","Material",0.001,0.001
"PINK_Bed","Material",0.001,0.001
"GREEN_Plant","Material",0.001,0.001
"GRAY_Wall","Material",0.001,0.001
"DARKGRAY_WallArt","Material",0.001,0.001
"BROWN_Door","Material",0.001,0.001
"BLUE_Table","Material",0.001,0.001
"BLACK_Window","Material",0.001,0.001
"Sprites-Default","Material",0.001,0.001
"PhysicsManager","PhysicsManager",0.001,0.001
"PlayerSettings","PlayerSettings",0.001,0.001
"Hidden/Universal Render Pipeline/StencilDeferred","Material",0.001,0.001
"Default-Skybox","Material",0.001,0.001
"Oculus/Cubemap Blit","Material",0.001,0.001
"Oculus/Cubemap Blit","Material",0.001,0.001
"Oculus/Cubemap Blit","Material",0.001,0.001
"Oculus/Cubemap Blit","Material",0.001,0.001
"Oculus/Cubemap Blit","Material",0.001,0.001
"Oculus/Cubemap Blit","Material",0.001,0.001
"Oculus/Texture2D Blit","Material",0.001,0.001
"UnityRed","Texture2D",0.001,0.001
"TimeManager","TimeManager",0.001,0.001
"Hidden/BlitCopyWithDepth","Material",0.001,0.001
"Hidden/BlitCopy","Material",0.001,0.001
"Hidden/Universal/CoreBlit","Material",0.001,0.001
"Hidden/Universal/CoreBlit","Material",0.001,0.001
"Wireframe","Material",0.001,0.001
"RoomBoxEffects","Material",0.001,0.001
"Hidden/Universal Render Pipeline/SubpixelMorphologicalAntialiasing","Material",0.001,0.001
"Hidden/Universal Render Pipeline/SubpixelMorphologicalAntialiasing","Material",0.001,0.001
"Directional Light","Light",0.001,0.001
"Hidden/Universal Render Pipeline/FallbackError","Material",0.001,0.001
"Hidden/Universal Render Pipeline/Bloom","Material",0.001,0.001
"Hidden/Universal Render Pipeline/Bloom","Material",0.001,0.001
"Hidden/Universal Render Pipeline/Bloom","Material",0.001,0.001
"Hidden/Universal Render Pipeline/Bloom","Material",0.001,0.001
"Hidden/Universal Render Pipeline/Bloom","Material",0.001,0.001
"Hidden/Universal Render Pipeline/Bloom","Material",0.001,0.001
"Hidden/Universal Render Pipeline/Bloom","Material",0.001,0.001
"Hidden/Universal Render Pipeline/Bloom","Material",0.001,0.001
"Hidden/Universal Render Pipeline/Bloom","Material",0.001,0.001
"Hidden/Universal Render Pipeline/Bloom","Material",0.001,0.001
"Hidden/Universal Render Pipeline/Bloom","Material",0.001,0.001
"Hidden/Universal Render Pipeline/Bloom","Material",0.001,0.001
"Hidden/Universal Render Pipeline/Bloom","Material",0.001,0.001
"Hidden/Universal Render Pipeline/Bloom","Material",0.001,0.001
"Hidden/Universal Render Pipeline/Bloom","Material",0.001,0.001
"Hidden/Universal Render Pipeline/Bloom","Material",0.001,0.001
"Hidden/Universal Render Pipeline/LensFlareScreenSpace","Material",0.001,0.001
"Hidden/Universal Render Pipeline/LensFlareDataDriven","Material",0.001,0.001
"Hidden/Universal Render Pipeline/FinalPost","Material",0.001,0.001
"Hidden/Universal Render Pipeline/UberPost","Material",0.001,0.001
"Hidden/Universal Render Pipeline/Edge Adaptive Spatial Upsampling","Material",0.001,0.001
"Hidden/Universal Render Pipeline/Scaling Setup","Material",0.001,0.001
"Hidden/Universal Render Pipeline/TemporalAA","Material",0.001,0.001
"Hidden/Universal Render Pipeline/Bloom","Material",0.001,0.001
"Hidden/Universal Render Pipeline/PaniniProjection","Material",0.001,0.001
"Hidden/Universal Render Pipeline/CameraMotionBlur","Material",0.001,0.001
"Hidden/Universal Render Pipeline/BokehDepthOfField","Material",0.001,0.001
"Hidden/Universal Render Pipeline/BokehDepthOfField","Material",0.001,0.001
"Hidden/Universal Render Pipeline/GaussianDepthOfField","Material",0.001,0.001
"Hidden/Universal Render Pipeline/GaussianDepthOfField","Material",0.001,0.001
"Hidden/Universal Render Pipeline/Stop NaN","Material",0.001,0.001
"Hidden/Universal Render Pipeline/Bloom","Material",0.001,0.001
"Hidden/Universal Render Pipeline/Bloom","Material",0.001,0.001
"Hidden/Universal Render Pipeline/Bloom","Material",0.001,0.001
"Hidden/Universal Render Pipeline/Bloom","Material",0.001,0.001
"Hidden/Universal Render Pipeline/Bloom","Material",0.001,0.001
"Hidden/Universal Render Pipeline/Bloom","Material",0.001,0.001
"Hidden/Universal Render Pipeline/Bloom","Material",0.001,0.001
"Hidden/Universal Render Pipeline/Bloom","Material",0.001,0.001
"Hidden/Universal Render Pipeline/Bloom","Material",0.001,0.001
"Hidden/Universal Render Pipeline/Bloom","Material",0.001,0.001
"Hidden/Universal Render Pipeline/Bloom","Material",0.001,0.001
"Hidden/Universal Render Pipeline/Bloom","Material",0.001,0.001
"Hidden/Universal Render Pipeline/Bloom","Material",0.001,0.001
"Hidden/Universal Render Pipeline/Bloom","Material",0.001,0.001
"Hidden/Universal Render Pipeline/Bloom","Material",0.001,0.001
"Hidden/Universal Render Pipeline/Bloom","Material",0.001,0.001
"Hidden/Universal Render Pipeline/LensFlareScreenSpace","Material",0.001,0.001
"Hidden/Universal Render Pipeline/LensFlareDataDriven","Material",0.001,0.001
"Hidden/Universal Render Pipeline/FinalPost","Material",0.001,0.001
"Hidden/Universal Render Pipeline/UberPost","Material",0.001,0.001
"Hidden/Universal Render Pipeline/Edge Adaptive Spatial Upsampling","Material",0.001,0.001
"Hidden/Universal Render Pipeline/Scaling Setup","Material",0.001,0.001
"Hidden/Universal Render Pipeline/TemporalAA","Material",0.001,0.001
"Hidden/Universal Render Pipeline/Bloom","Material",0.001,0.001
"Hidden/Universal Render Pipeline/PaniniProjection","Material",0.001,0.001
"Hidden/Universal Render Pipeline/CameraMotionBlur","Material",0.001,0.001
"Hidden/Universal Render Pipeline/BokehDepthOfField","Material",0.001,0.001
"Hidden/Universal Render Pipeline/BokehDepthOfField","Material",0.001,0.001
"Hidden/Universal Render Pipeline/GaussianDepthOfField","Material",0.001,0.001
"Hidden/Universal Render Pipeline/GaussianDepthOfField","Material",0.001,0.001
"Hidden/Universal Render Pipeline/Stop NaN","Material",0.001,0.001
"Hidden/Universal Render Pipeline/LutBuilderHdr","Material",0.001,0.001
"Hidden/Universal Render Pipeline/LutBuilderLdr","Material",0.001,0.001
"Hidden/Universal Render Pipeline/CopyDepth","Material",0.001,0.001
"Hidden/Universal Render Pipeline/CopyDepth","Material",0.001,0.001
"Hidden/Universal Render Pipeline/CopyDepth","Material",0.001,0.001
"Hidden/Universal Render Pipeline/CopyDepth","Material",0.001,0.001
"Hidden/Universal Render Pipeline/CameraMotionVectors","Material",0.001,0.001
"Hidden/Universal Render Pipeline/Sampling","Material",0.001,0.001
"Hidden/Universal/BlitHDROverlay","Material",0.001,0.001
"Hidden/Universal/CoreBlit","Material",0.001,0.001
"Hidden/Universal Render Pipeline/XR/XRMotionVector","Material",0.001,0.001
"Hidden/Universal Render Pipeline/XR/XRMirrorView","Material",0.001,0.001
"Hidden/Universal Render Pipeline/XR/XROcclusionMesh","Material",0.001,0.001
"Hidden/Universal/HDRDebugView","Material",0.001,0.001
"Hidden/Universal Render Pipeline/Debug/DebugReplacement","Material",0.001,0.001
"Hidden/Universal/CoreBlit","Material",0.001,0.001
"Hidden/Universal/CoreBlitColorAndDepth","Material",0.001,0.001
"Hidden/CoreSRP/CoreCopy","Material",0.001,0.001
"OtherRoom04_empty","Transform",0.001,0.001
"URP Reflection Probe Atlas","RenderTexture",0.001,0.001
"","Mesh",0.001,0.001
"","Material",0.001,0.001
"","Sprite",0.001,0.001
"UnityBlack","Texture2D",0.001,0.001
"UnityWhite","Texture2D",0.001,0.001
"UnityLinearGrey","Texture2D",0.001,0.001
"UnityGrey","Texture2D",0.001,0.001
"UnityNormalMap","Texture2D",0.001,0.001
"UnityDitherMask","Texture2D",0.001,0.001
"OVRPassthroughLayer auxiliary GameObject","MonoBehaviour",0.001,0.001
"OculusLoader","ScriptableObject",0.001,0.001
"URP Reflection Probe Atlas","RenderTexture",0.001,0.001
"UnityDefault2DArray","Texture2DArray",0.001,0.001
"UnityDefault3D","Texture3D",0.001,0.000
"[BuildingBlock] Passthrough","Transform",0.001,0.001
"BayerMatrix","Texture2D",0.001,0.000
"PC_RPAsset","ScriptableObject",0.001,0.001
"BuildSettings","BuildSettings",0.001,0.001
"WALL_FACE_EffectMesh","MeshRenderer",0.001,0.001
"WALL_FACE_EffectMesh","MeshRenderer",0.001,0.001
"WALL_FACE_EffectMesh","MeshRenderer",0.001,0.001
"WALL_FACE_EffectMesh","MeshRenderer",0.001,0.001
"SCREEN_EffectMesh","MeshRenderer",0.001,0.001
"WALL_ART_EffectMesh","MeshRenderer",0.001,0.001
"OTHER_EffectMesh","MeshRenderer",0.001,0.001
"SCREEN_EffectMesh","MeshRenderer",0.001,0.001
"OTHER_EffectMesh","MeshRenderer",0.001,0.001
"OTHER_EffectMesh","MeshRenderer",0.001,0.001
"OTHER_EffectMesh","MeshRenderer",0.001,0.001
"TABLE_EffectMesh","MeshRenderer",0.001,0.001
"LAMP_EffectMesh","MeshRenderer",0.001,0.001
"TABLE_EffectMesh","MeshRenderer",0.001,0.001
"WINDOW_FRAME_EffectMesh","MeshRenderer",0.001,0.001
"TABLE_EffectMesh","MeshRenderer",0.001,0.001
"SCREEN_EffectMesh","MeshRenderer",0.001,0.001
"WINDOW_FRAME_EffectMesh","MeshRenderer",0.001,0.001
"STORAGE_EffectMesh","MeshRenderer",0.001,0.001
"WINDOW_FRAME_EffectMesh","MeshRenderer",0.001,0.001
"WINDOW_FRAME_EffectMesh","MeshRenderer",0.001,0.001
"SCREEN_EffectMesh","MeshRenderer",0.001,0.001
"WINDOW_FRAME_EffectMesh","MeshRenderer",0.001,0.001
"WINDOW_FRAME_EffectMesh","MeshRenderer",0.001,0.001
"WINDOW_FRAME_EffectMesh","MeshRenderer",0.001,0.001
"SCREEN_EffectMesh","MeshRenderer",0.001,0.001
"OTHER_EffectMesh","MeshRenderer",0.001,0.001
"OTHER_EffectMesh","MeshRenderer",0.001,0.001
"TABLE_EffectMesh","MeshRenderer",0.001,0.001
"TABLE_EffectMesh","MeshRenderer",0.001,0.001
"LAMP_EffectMesh","MeshRenderer",0.001,0.001
"SCREEN_EffectMesh","MeshRenderer",0.001,0.001
"TABLE_EffectMesh","MeshRenderer",0.001,0.001
"OTHER_EffectMesh","MeshRenderer",0.001,0.001
"TABLE_EffectMesh","MeshRenderer",0.001,0.001
"WALL_ART_EffectMesh","MeshRenderer",0.001,0.001
"TABLE_EffectMesh","MeshRenderer",0.001,0.001
"OTHER_EffectMesh","MeshRenderer",0.001,0.001
"TABLE_EffectMesh","MeshRenderer",0.001,0.001
"OTHER_EffectMesh","MeshRenderer",0.001,0.001
"OTHER_EffectMesh","MeshRenderer",0.001,0.001
"SCREEN_EffectMesh","MeshRenderer",0.001,0.001
"WINDOW_FRAME_EffectMesh","MeshRenderer",0.001,0.001
"STORAGE_EffectMesh","MeshRenderer",0.001,0.001
"TABLE_EffectMesh","MeshRenderer",0.001,0.001
"OTHER_EffectMesh","MeshRenderer",0.001,0.001
"OTHER_EffectMesh","MeshRenderer",0.001,0.001
"OTHER_EffectMesh","MeshRenderer",0.001,0.001
"DOOR_FRAME_EffectMesh","MeshRenderer",0.001,0.001
"TABLE_EffectMesh","MeshRenderer",0.001,0.001
"TABLE_EffectMesh","MeshRenderer",0.001,0.001
"TABLE_EffectMesh","MeshRenderer",0.001,0.001
"WALL_ART_EffectMesh","MeshRenderer",0.001,0.001
"CEILING_EffectMesh","MeshRenderer",0.001,0.001
"SCREEN_EffectMesh","MeshRenderer",0.001,0.001
"FLOOR_EffectMesh","MeshRenderer",0.001,0.001
"OTHER","MeshRenderer",0.001,0.001
"TABLE","MeshRenderer",0.001,0.001
"WINDOW_FRAME","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"TABLE","MeshRenderer",0.001,0.001
"WINDOW_FRAME","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"WINDOW_FRAME","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"WALL_ART","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"TABLE","MeshRenderer",0.001,0.001
"OTHER","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"WALL_ART","MeshRenderer",0.001,0.001
"TABLE","MeshRenderer",0.001,0.001
"COUCH","MeshRenderer",0.001,0.001
"COUCH","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"TABLE","MeshRenderer",0.001,0.001
"COUCH","MeshRenderer",0.001,0.001
"COUCH","MeshRenderer",0.001,0.001
"TABLE","MeshRenderer",0.001,0.001
"PLANT","MeshRenderer",0.001,0.001
"TABLE","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"OTHER","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"OTHER","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"OTHER","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"COUCH","MeshRenderer",0.001,0.001
"WINDOW_FRAME","MeshRenderer",0.001,0.001
"OTHER","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"SCREEN","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"WINDOW_FRAME","MeshRenderer",0.001,0.001
"OTHER","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"OTHER","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"INVISIBLE_WALL_FACE","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"WALL_ART","MeshRenderer",0.001,0.001
"OTHER","MeshRenderer",0.001,0.001
"DOOR_FRAME","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"OTHER","MeshRenderer",0.001,0.001
"PLANT","MeshRenderer",0.001,0.001
"OTHER","MeshRenderer",0.001,0.001
"TABLE","MeshRenderer",0.001,0.001
"BED","MeshRenderer",0.001,0.001
"DOOR_FRAME","MeshRenderer",0.001,0.001
"TABLE","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"LAMP","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"WALL_ART","MeshRenderer",0.001,0.001
"TABLE","MeshRenderer",0.001,0.001
"LAMP","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"OTHER","MeshRenderer",0.001,0.001
"TABLE","MeshRenderer",0.001,0.001
